Match ID,Date,Day,Month,daymonth,Year,DateFormat,Opponent,Home/Away,Competition,Score,Result,Score Rank,HomeTeam,HomeScore,AwayTeam,AwayScore
2685,29th Aug 1956,29,8,29-8,1956,20696,Salford,H,L,St. Helens 40 - 0 Salford,W,1600,Saints,40,Salford,0
4108,22nd Nov 1987,22,11,22-11,1987,32103,Mansfield Marksmen,H,JP2,St. Helens 40 - 0 Mansfield Marksmen,W,1600,Saints,40,Mansfield ,0
2840,12th Dec 1959,12,12,12-12,1959,21896,Rochdale Hornets,A,L,Rochdale Hornets 4 - 40 St. Helens,W,1584,Rochdale H,4,Saints,40
1983,24th Apr 1937,24,4,24-4,1937,13629,Newcastle,H,L,St. Helens 41 - 10 Newcastle,W,1581,Saints,41,Newcastle,10
3272,7th Apr 1969,7,4,7-4,1969,25300,Swinton,H,L,St. Helens 40 - 5 Swinton,W,1575,Saints,40,Swinton,5
3978,17th Oct 1984,17,10,17-10,1984,30972,Halifax,H,L,St. Helens 42 - 14 Halifax,W,1568,Saints,42,Halifax,14
4615,23rd Mar 2007,23,3,23-3,2007,39164,Hull Kingston Rovers,H,SL,St. Helens 42 - 14 Hull Kingston Rovers,W,1568,Saints,42,Hull K,14
52,10th Feb 2002,10,2,10-2,2002,37297,Oldham,A,KNGCC4,Oldham 6 - 40 St. Helens,W,1564,Oldham,6,Saints,40
2845,9th Jan 1960,9,1,9-1,1960,21924,Warrington,H,L,St. Helens 40 - 6 Warrington,W,1564,Saints,40,Warrington,6
3603,20th Jan 1976,20,1,20-1,1976,27779,Swinton,H,L,St. Helens 40 - 6 Swinton,W,1564,Saints,40,Swinton,6
2342,2nd Oct 1948,2,10,2-10,1948,17808,Hunslet,H,L,St. Helens 41 - 11 Hunslet,W,1560,Saints,41,Hunslet,11
3047,5th Sep 1964,5,9,5-9,1964,23625,Liverpool City,A,LC1,Liverpool City 11 - 41 St. Helens,W,1560,Liverpool ,11,Saints,41
3939,6th Nov 1983,6,11,6-11,1983,30626,Kent Invicta,A,JP1,Kent Invicta 7 - 40 St. Helens,W,1551,Kent I,7,Saints,40
65,13th Jul 2001,13,7,13-7,2001,37085,Leeds Rhinos,H,SL,St. Helens 46 - 24 Leeds Rhinos,W,1540,Saints,46,Leeds R,24
2009,19th Feb 1938,19,2,19-2,1938,13930,Pendlebury Juniors,H,CC1,St. Helens 39 - 0 Pendlebury Juniors,W,1521,Saints,39,Pendlebury,0
3336,12th Sep 1970,12,9,12-9,1970,25823,Huddersfield,H,L,St. Helens 39 - 0 Huddersfield,W,1521,Saints,39,Huddersfld,0
331,27th Feb 1994,27,2,27-2,1994,34392,Doncaster,H,CC6,St. Helens 40 - 9 Doncaster,W,1519,Saints,40,Doncaster,9
3950,15th Jan 1984,15,1,15-1,1984,30696,Whitehaven,H,L,St. Helens 40 - 10 Whitehaven,W,1500,Saints,40,Whitehaven,10
4208,17th Mar 1990,17,3,17-3,1990,32949,Wakefield Trinity,H,L,St. Helens 44 - 21 Wakefield Trinity,W,1495,Saints,44,Wakefield ,21
34,7th Jun 2002,7,6,7-6,2002,37414,Leeds Rhinos,A,SL,Leeds Rhinos 14 - 41 St. Helens,W,1485,Leeds R,14,Saints,41
2829,3rd Oct 1959,3,10,3-10,1959,21826,Salford,H,L,St. Helens 40 - 11 Salford,W,1479,Saints,40,Salford,11
412,19th Jan 1992,19,1,19-1,1992,33622,Wakefield Trinity,H,L,St. Helens 40 - 12 Wakefield Trinity,W,1456,Saints,40,Wakefield ,12
4515,18th Jun 2004,18,6,18-6,2004,38156,Widnes Vikings,A,SL,Widnes Vikings 12 - 40 St. Helens,W,1456,Widnes V,12,Saints,40
4625,28th May 2007,28,5,28-5,2007,39230,Warrington Wolves,A,SL,Warrington Wolves 12 - 40 St. Helens,W,1456,Warrington,12,Saints,40
5044,14th Mar 2019,14,3,14-3,2019,43538,Huddersfield Giants,A,SL,Huddersfield Giants 12 - 40 St. Helens,W,1456,Huddersfld,12,Saints,40
101,21st Jul 2000,21,7,21-7,2000,36728,Castleford Tigers,H,SL,St. Helens 42 - 18 Castleford Tigers,W,1440,Saints,42,Castleford,18
253,24th Feb 1996,24,2,24-2,1996,35119,Salford Reds,A,SCCC6,Salford Reds 26 - 46 St. Helens,W,1440,Salford R,26,Saints,46
4778,31st Jul 2011,31,7,31-7,2011,40755,Castleford Tigers,A,SL,Castleford Tigers 26 - 46 St. Helens,W,1440,Castleford,26,Saints,46
4053,3rd Sep 1986,3,9,3-9,1986,31658,Salford,A,L,Salford 4 - 38 St. Helens,W,1428,Salford,4,Saints,38
4990,23rd Jul 2017,23,7,23-7,2017,42939,Wakefield Trinity,A,SL,Wakefield Trinity 16 - 41 St. Helens,W,1425,Wakefield ,16,Saints,41
4593,2nd Jul 2006,2,7,2-7,2006,38900,Wakefield Trinity Wildcats,A,SL,Wakefield Trinity Wildcats 36 - 52 St. Helens,W,1408,Wakefield ,36,Saints,52
2572,5th Dec 1953,5,12,5-12,1953,19698,Belle Vue Rangers,H,L,St. Helens 38 - 7 Belle Vue Rangers,W,1395,Saints,38,Belle V,7
1737,28th Nov 1931,28,11,28-11,1931,11655,Warrington,H,L,St. Helens 38 - 8 Warrington,W,1380,Saints,38,Warrington,8
4195,14th Jan 1990,14,1,14-1,1990,32887,Castleford,H,CCP,St. Helens 39 - 12 Castleford,W,1377,Saints,39,Castleford,12
3060,21st Nov 1964,21,11,21-11,1964,23702,Barrow,H,L,St. Helens 37 - 3 Barrow,W,1360,Saints,37,Barrow,3
4886,30th Oct 1971,30,10,30-10,1971,26236,Bramley,H,L,St. Helens 37 - 4 Bramley,W,1353,Saints,37,Bramley,4
2529,3rd Jan 1953,3,1,3-1,1953,19362,Rochdale Hornets,H,L,St. Helens 37 - 5 Rochdale Hornets,W,1344,Saints,37,Rochdale H,5
2950,23rd Apr 1962,23,4,23-4,1962,22759,Blackpool Borough,H,L,St. Helens 37 - 5 Blackpool Borough,W,1344,Saints,37,Blackpool ,5
3312,2nd Mar 1970,2,3,2-3,1970,25629,Whitehaven,H,L,St. Helens 37 - 5 Whitehaven,W,1344,Saints,37,Whitehaven,5
3589,22nd Oct 1975,22,10,22-10,1975,27689,Whitehaven,H,FT1,St. Helens 38 - 10 Whitehaven,W,1344,Saints,38,Whitehaven,10
4183,4th Nov 1989,4,11,4-11,1989,32816,Salford,H,L,St. Helens 40 - 16 Salford,W,1344,Saints,40,Salford,16
4954,8th Sep 2016,8,9,8-9,2016,42621,Castleford Tigers,H,SL,St. Helens 40 - 16 Castleford Tigers,W,1344,Saints,40,Castleford,16
2703,22nd Dec 1956,22,12,22-12,1956,20811,Whitehaven,H,L,St. Helens 37 - 6 Whitehaven,W,1333,Saints,37,Whitehaven,6
3265,6th Mar 1969,6,3,6-3,1969,25268,Huyton,H,L,St. Helens 37 - 6 Huyton,W,1333,Saints,37,Huyton,6
3346,13th Oct 1970,13,10,13-10,1970,25854,Warrington,H,L,St. Helens 37 - 6 Warrington,W,1333,Saints,37,Warrington,6
4986,16th Jul 2017,16,7,16-7,2017,42932,Catalans Dragons,H,Sl,St. Helens 46 - 28 Catalans Dragons,W,1332,Saints,46,Catalans D,28
3404,13th Nov 1971,13,11,13-11,1971,26250,Featherstone Rovers,H,JP1,St. Helens 37 - 7 Featherstone Rovers,W,1320,Saints,37,Feathersto,7
2789,6th Dec 1958,6,12,6-12,1958,21525,Leeds,H,L,St. Helens 38 - 12 Leeds,W,1300,Saints,38,Leeds,12
4022,3rd Nov 1985,3,11,3-11,1985,31354,Featherstone Rovers,A,L,Featherstone Rovers 12 - 38 St. Helens,W,1300,Feathersto,12,Saints,38
5048,12th Apr 2019,12,4,12-4,2019,43567,Warrington Wolves,H,SL,St. Helens 38 - 12 Warrington Wolves,W,1300,Saints,38,Warrington,12
5148,19th Aug 2022,19,8,19-8,2022,44792,Hull KR,H,SL,St. Helens 38 - 12 Hull KR,W,1300,Saints,38,Hull KR,12
4058,28th Sep 1986,28,9,28-9,1986,31683,Hull Kingston Rovers,A,L,Hull Kingston Rovers 4 - 36 St. Helens,W,1280,Hull K,4,Saints,36
4558,15th Jul 2005,15,7,15-7,2005,38548,Wigan Warriors,H,SL,St. Helens 40 - 18 Wigan Warriors,W,1276,Saints,40,Wigan W,18
1831,16th Dec 1933,16,12,16-12,1933,12404,Broughton Rangers,H,L,St. Helens 36 - 5 Broughton Rangers,W,1271,Saints,36,Broughton ,5
167,30th Aug 1998,30,8,30-8,1998,36037,Halifax Blue Sox,H,SL,St. Helens 36 - 6 Halifax Blue Sox,W,1260,Saints,36,Halifax B,6
